Directory,DateTimeOriginal,FileName,species,count,juvenile,moving,resting,eating,standing,interacting,male
E04/E04_R1/100EK113,6/10/18 8:58,EK000001.JPG,human,,,,,,,,
E04/E04_R1/100EK113,6/10/18 8:58,EK000002.JPG,human,,,,,,,,
E04/E04_R1/100EK113,6/10/18 8:59,EK000003.JPG,human,,,,,,,,
E04/E04_R1/100EK113,6/10/18 8:59,EK000004.JPG,human,,,,,,,,
E04/E04_R1/100EK113,6/10/18 9:00,EK000005.JPG,human,,,,,,,,
E04/E04_R1/100EK113,6/10/18 9:00,EK000006.JPG,human,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 9:01,EK000001.JPG,setup,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 9:01,EK000002.JPG,setup,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 9:54,EK000003.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 9:54,EK000004.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 9:58,EK000005.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 9:58,EK000006.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:15,EK000007.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:15,EK000008.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:23,EK000009.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:23,EK000010.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:24,EK000011.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:24,EK000012.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:30,EK000013.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:30,EK000014.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:32,EK000015.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:32,EK000016.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:33,EK000017.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:33,EK000018.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:34,EK000019.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:34,EK000020.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:35,EK000022.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:35,EK000021.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:44,EK000023.JPG,vervet,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 10:44,EK000024.JPG,vervet,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 10:49,EK000025.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:49,EK000026.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:52,EK000027.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:52,EK000028.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:54,EK000029.JPG,vervet,1,0,0,1,1,0,0,0
E04/E04_R1/101NIKON,6/10/18 10:54,EK000030.JPG,vervet,1,0,0,1,1,0,0,0
E04/E04_R1/101NIKON,6/10/18 10:54,EK000031.JPG,vervet,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 10:55,EK000032.JPG,vervet,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 10:57,EK000033.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 10:57,EK000034.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 11:01,EK000035.JPG,impala,1,0,0,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 11:01,EK000036.JPG,impala,1,0,0,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 11:02,EK000037.JPG,impala,1,0,1,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 11:02,EK000038.JPG,impala,1,0,1,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 12:20,EK000039.JPG,vervet,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 12:20,EK000040.JPG,vervet,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 12:25,EK000041.JPG,vervet,2,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 12:25,EK000042.JPG,vervet,2,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 12:26,EK000043.JPG,vervet,2,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 12:26,EK000044.JPG,vervet,2,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 12:27,EK000045.JPG,vervet,1,0,0,1,0,0,0,0
E04/E04_R1/101NIKON,6/10/18 12:27,EK000046.JPG,vervet,1,0,0,1,0,0,0,0
E04/E04_R1/101NIKON,6/10/18 12:28,EK000047.JPG,vervet,1,0,0,1,0,0,0,0
E04/E04_R1/101NIKON,6/10/18 12:28,EK000048.JPG,vervet,1,0,0,1,0,0,0,0
E04/E04_R1/101NIKON,6/10/18 12:45,EK000049.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 12:45,EK000050.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:14,EK000051.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:14,EK000052.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:30,EK000053.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:30,EK000054.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:33,EK000055.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:33,EK000056.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:35,EK000057.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:35,EK000058.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:51,EK000059.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:51,EK000060.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:52,EK000061.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:52,EK000062.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:54,EK000063.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 13:54,EK000064.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:01,EK000065.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:01,EK000066.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:02,EK000067.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:02,EK000068.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:03,EK000069.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:03,EK000070.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:04,EK000071.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:04,EK000072.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:05,EK000073.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:05,EK000074.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:06,EK000075.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:06,EK000076.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:09,EK000077.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:09,EK000078.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:15,EK000079.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:15,EK000080.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:27,EK000081.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:27,EK000082.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:33,EK000083.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:33,EK000084.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:35,EK000085.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:35,EK000086.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:36,EK000087.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:36,EK000088.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:42,EK000089.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:42,EK000090.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:43,EK000091.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:43,EK000092.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:44,EK000093.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:44,EK000094.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:46,EK000095.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:46,EK000096.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:55,EK000097.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:55,EK000098.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:55,EK000100.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:55,EK000099.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:57,EK000101.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 14:57,EK000102.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:02,EK000103.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:02,EK000104.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:06,EK000105.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:06,EK000106.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:08,EK000107.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:08,EK000108.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:15,EK000109.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:15,EK000110.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:21,EK000111.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:21,EK000112.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/10/18 15:24,EK000113.JPG,vervet,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 15:24,EK000114.JPG,vervet,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/10/18 15:25,EK000115.JPG,vervet,1,0,0,1,0,0,0,0
E04/E04_R1/101NIKON,6/10/18 15:25,EK000116.JPG,vervet,1,0,0,1,0,0,0,0
E04/E04_R1/101NIKON,6/10/18 15:33,EK000117.JPG,impala,1,0,0,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 15:33,EK000118.JPG,impala,1,0,0,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 15:55,EK000119.JPG,impala,1,0,0,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 15:55,EK000120.JPG,impala,1,0,0,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 15:56,EK000121.JPG,impala,1,0,1,0,0,1,0,1
E04/E04_R1/101NIKON,6/10/18 15:56,EK000122.JPG,impala,1,0,1,0,0,1,0,1
E04/E04_R1/101NIKON,6/11/18 9:57,EK000123.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 9:57,EK000124.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 10:39,EK000125.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 10:39,EK000126.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 11:50,EK000127.JPG,impala,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/11/18 11:50,EK000128.JPG,impala,1,0,1,0,0,1,0,0
E04/E04_R1/101NIKON,6/11/18 12:04,EK000129.JPG,impala,1,0,0,0,1,1,0,1
E04/E04_R1/101NIKON,6/11/18 12:04,EK000130.JPG,impala,1,0,0,0,1,1,0,1
E04/E04_R1/101NIKON,6/11/18 12:07,EK000131.JPG,impala,1,0,0,0,1,1,0,1
E04/E04_R1/101NIKON,6/11/18 12:07,EK000132.JPG,impala,1,0,0,0,1,1,0,1
E04/E04_R1/101NIKON,6/11/18 12:32,EK000133.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 12:32,EK000134.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 12:33,EK000135.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 12:33,EK000136.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 12:48,EK000137.JPG,impala,1,0,0,0,0,1,0,1
E04/E04_R1/101NIKON,6/11/18 12:48,EK000138.JPG,impala,1,0,0,0,0,1,0,1
E04/E04_R1/101NIKON,6/11/18 12:50,EK000139.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 12:50,EK000140.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 12:52,EK000141.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 12:52,EK000142.JPG,nothing there,,,,,,,,
E04/E04_R1/101NIKON,6/11/18 12:53,EK000143.JPG,nothing there,,,,,,,,
