Directory,DateTimeOriginal,FileName,species,count,juvenile,moving,resting,eating,standing,interacting,male
D07/D07_R1/100EK113,5/8/18 13:31,05080001.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:31,05080002.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:32,05080003.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:32,05080004.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:33,05080005.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:33,05080006.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:33,05080007.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:33,05080008.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:34,05080009.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:34,05080010.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:34,05080011.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:34,05080012.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:35,05080013.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:35,05080014.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:36,05080015.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:36,05080016.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:37,05080017.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:37,05080018.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:39,05080019.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:39,05080020.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:40,05080021.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:40,05080022.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:41,05080023.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:41,05080024.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:42,05080025.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/8/18 13:42,05080026.JPG,human,,,,,,,,
D07/D07_R1/100EK113,5/9/18 6:53,05090027.JPG,warthog,2,0,0,0,1,1,0,0
D07/D07_R1/100EK113,5/9/18 6:53,05090028.JPG,warthog,2,0,0,0,1,1,0,0
D07/D07_R1/100EK113,5/9/18 6:54,05090029.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 6:54,05090030.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/9/18 8:07,05090031.JPG,baboon,1,0,0,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:07,05090032.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/9/18 8:08,05090033.JPG,baboon,1,0,0,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:08,05090034.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/9/18 8:16,05090035.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:16,05090036.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:20,05090037.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:20,05090037.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:20,05090038.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:20,05090038.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:21,05090039.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:21,05090040.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:22,05090041.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/9/18 8:22,05090042.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:22,05090043.JPG,warthog,3,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:22,05090044.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:23,05090045.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:23,05090046.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/9/18 8:24,05090047.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:24,05090048.JPG,warthog,2,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 8:25,05090049.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/9/18 8:25,05090050.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/9/18 9:13,05090051.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 9:13,05090052.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 9:16,05090053.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 9:16,05090054.JPG,warthog,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/9/18 15:55,05090055.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/9/18 15:55,05090056.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/9/18 22:01,05090057.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/9/18 22:01,05090058.JPG,nyala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/10/18 0:46,05100059.JPG,unknown,,,,,,,,
D07/D07_R1/100EK113,5/10/18 0:46,05100060.JPG,unknown,,,,,,,,
D07/D07_R1/100EK113,5/10/18 8:39,05100061.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/10/18 8:39,05100062.JPG,baboon,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/10/18 8:48,05100063.JPG,baboon,1,0,1,0,0,1,0,0
