Directory,FileName,DateTimeOriginal,species,count,juvenile,moving,resting,eating,standing,interacting,male
G12/G12_R1/100EK113,07240001.JPG,7/24/18 12:18,human,,,,,,,,
G12/G12_R1/100EK113,07240002.JPG,7/24/18 12:18,human,,,,,,,,
G12/G12_R1/100EK113,07240003.JPG,7/24/18 12:19,human,,,,,,,,
G12/G12_R1/100EK113,07240004.JPG,7/24/18 12:19,human,,,,,,,,
G12/G12_R1/100EK113,07240005.JPG,7/24/18 12:20,human,,,,,,,,
G12/G12_R1/100EK113,07240006.JPG,7/24/18 12:20,human,,,,,,,,
G12/G12_R1/100EK113,07240007.JPG,7/24/18 12:20,human,,,,,,,,
G12/G12_R1/100EK113,07240008.JPG,7/24/18 12:20,human,,,,,,,,
G12/G12_R1/100EK113,07240009.JPG,7/24/18 12:21,human,,,,,,,,
G12/G12_R1/100EK113,07240010.JPG,7/24/18 12:21,human,,,,,,,,
G12/G12_R1/100EK113,07240011.JPG,7/24/18 13:30,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240012.JPG,7/24/18 13:30,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240013.JPG,7/24/18 13:35,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240014.JPG,7/24/18 13:35,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240015.JPG,7/24/18 13:37,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240016.JPG,7/24/18 13:37,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240017.JPG,7/24/18 13:39,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240018.JPG,7/24/18 13:39,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240019.JPG,7/24/18 13:51,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240020.JPG,7/24/18 13:51,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240021.JPG,7/24/18 13:52,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240022.JPG,7/24/18 13:52,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240023.JPG,7/24/18 13:52,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240024.JPG,7/24/18 13:52,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240025.JPG,7/24/18 13:53,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240026.JPG,7/24/18 13:53,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240027.JPG,7/24/18 13:55,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240028.JPG,7/24/18 13:55,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240029.JPG,7/24/18 13:56,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240030.JPG,7/24/18 13:56,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240031.JPG,7/24/18 14:01,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240032.JPG,7/24/18 14:01,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240033.JPG,7/24/18 14:06,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240034.JPG,7/24/18 14:06,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240035.JPG,7/24/18 14:25,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240036.JPG,7/24/18 14:25,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240037.JPG,7/24/18 14:26,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240038.JPG,7/24/18 14:26,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240039.JPG,7/24/18 14:27,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240040.JPG,7/24/18 14:27,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240041.JPG,7/24/18 14:38,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240042.JPG,7/24/18 14:38,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240043.JPG,7/24/18 14:40,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240044.JPG,7/24/18 14:40,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240045.JPG,7/24/18 14:41,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240046.JPG,7/24/18 14:41,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240047.JPG,7/24/18 14:43,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240048.JPG,7/24/18 14:43,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240049.JPG,7/24/18 14:44,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240050.JPG,7/24/18 14:44,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240051.JPG,7/24/18 14:45,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240052.JPG,7/24/18 14:45,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240053.JPG,7/24/18 14:45,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240054.JPG,7/24/18 14:45,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240055.JPG,7/24/18 14:46,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240056.JPG,7/24/18 14:46,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240057.JPG,7/24/18 14:50,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240058.JPG,7/24/18 14:50,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240059.JPG,7/24/18 14:55,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240060.JPG,7/24/18 14:55,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240061.JPG,7/24/18 15:27,unknown,,,,,,,,
G12/G12_R1/100EK113,07240062.JPG,7/24/18 15:27,nothing there,,,,,,,,
G12/G12_R1/100EK113,07240063.JPG,7/24/18 17:16,duiker,1,0,1,0,0,1,0,0
G12/G12_R1/100EK113,07240064.JPG,7/24/18 17:16,duiker,1,0,1,0,0,1,0,0
G12/G12_R1/100EK113,07250065.JPG,7/25/18 8:34,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250066.JPG,7/25/18 8:34,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250067.JPG,7/25/18 9:19,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250068.JPG,7/25/18 9:19,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250069.JPG,7/25/18 9:26,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250070.JPG,7/25/18 9:26,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250071.JPG,7/25/18 9:27,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250072.JPG,7/25/18 9:27,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250073.JPG,7/25/18 9:30,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250074.JPG,7/25/18 9:30,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250075.JPG,7/25/18 9:36,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250076.JPG,7/25/18 9:36,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250077.JPG,7/25/18 9:37,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250078.JPG,7/25/18 9:38,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250079.JPG,7/25/18 9:42,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250080.JPG,7/25/18 9:42,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250081.JPG,7/25/18 9:47,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250082.JPG,7/25/18 9:47,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250083.JPG,7/25/18 9:50,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250084.JPG,7/25/18 9:50,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250085.JPG,7/25/18 10:06,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250086.JPG,7/25/18 10:06,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250087.JPG,7/25/18 10:14,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250088.JPG,7/25/18 10:14,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250089.JPG,7/25/18 10:17,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250090.JPG,7/25/18 10:17,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250091.JPG,7/25/18 10:18,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250092.JPG,7/25/18 10:18,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250093.JPG,7/25/18 10:18,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250094.JPG,7/25/18 10:18,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250095.JPG,7/25/18 10:19,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250096.JPG,7/25/18 10:19,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250097.JPG,7/25/18 10:24,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250098.JPG,7/25/18 10:24,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250099.JPG,7/25/18 10:26,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250100.JPG,7/25/18 10:26,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250101.JPG,7/25/18 10:35,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250102.JPG,7/25/18 10:35,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250103.JPG,7/25/18 10:41,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250104.JPG,7/25/18 10:41,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250105.JPG,7/25/18 10:46,nothing there,,,,,,,,
G12/G12_R1/100EK113,07250106.JPG,7/25/18 10:46,nothing there,,,,,,,,
