SppCode,GenusLatin,SpeciesLatin,CommName,CommName_Full,Matching_JSON_Entries,Diet,Weight,Sociality,Family,Order,Tribe,Activity_pattern,Sociality.1,Mass_category,Trophic_level,LMH,Hempsen_category,Hempsen_mass_kg,Hempsen_diet,Hempsen_gut_type,Hempsen_herd_size,Hempsen_water_dependence,Pansu_guild,Pansu_included,Pansu_percent_gras_RRA,Pansu_pop_niche_width,Pansu_indiv_niche_breadth,5-1_AdultBodyMass_g,5-1_AdultBodyMass_kg,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,References,16-2_LittersPerYear_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Floodplain,Floodplain.biomass,Savanna.biomass,Total.biomass,count.pct.of.total,biomass.pct.of.total,biomass.pct.of.total.noele,Floodplain.pct,Savanna.pct,Hempsen_herd_size_number,Hempsen_water_dependence_numbers,FunctionalGroup,Diet2,FunctionalGroupBG,FunctionalGroupBGTest
LOAF,Loxodonta,africana,Elephant,Elephant,55631055-3e0e-4b7a-9612-dedebe9f78b0;mammalia;proboscidea;elephantidae;loxodonta;africana;african elephant,Herbivore,3824539.93,group,Elephantidae,Proboscidea,,diurnal,group,Very_large,1,yes,Nrum,4101.8,BGI,Nonruminant,Gregarious,High,mixed_feeder,1,20,3.14,10.2,3824539.93,3824.53993,-999,0,3467.5,-999,-999,4,660,1,587.53,1284.09,1825,0.84,-999,960,105000,1198.63,6.72,-999,4977.64,19.5,2,1,1088.8,550616.56,511;543;730;854;899;931;1297;1573;1577;1745;1763;2195;2313;2338;2655;2755;2820;2949;2986,0.48,4233287.94,16.36,-33.56,-8.6,41.93,-13.9,14.01,0,19.03,1,0.15,83.39,231.48,910.08,1531.04,No,1164911.2,1144402.2,2309313.4,0.007314633,0.154652106,,0.504440497,0.495559503,3,3,Ungulate,HMF,UngulateB,UngulateB
HIAM,Hippopotamus,amphibius,Hippo,Hippopotamus,7631afd3-ab8e-4e88-9243-2c21386595eb;mammalia;cetartiodactyla;hippopotamidae;hippopotamus;amphibius;hippopotamus,Herbivore,1536310.4,group,Hippopotamidae,Artiodactyla,,crepuscular,group,Very_large,1,yes,Nrum,1866.9,GRV,Nonruminant,Gregarious,High,grazer,0,,,,1536310.4,1536.3104,-999,-999,1460,-999,-999,2,235.37,2,-999,-999,696.54,1,1,654,40199.99,-999,4.86,585,2030,,-999,1,319.01,206389.44,543;898;1297;1763;1848;2180;2338;2620;2629;2655,-999,1849389.21,13.59,-27.33,-6.86,42.88,-15.16,13.85,0,35.86,1,0.13,91.23,233.56,931.33,1522.22,Yes,821436,0,821436,0.00571659,0.05501064,0.06507456,1,0,3,3,Ungulate,HG,UngulateG,UngulateG
SYCA,Syncerus,caffer,Buffalo,African buffalo,9732cefb-6a08-49f6-b61e-b9a9054368c4;mammalia;cetartiodactyla;bovidae;syncerus;caffer;african buffalo,Herbivore,592665.98,group,Bovidae,Artiodactyla,,crepuscular,group,Very_large,1,yes,WDGr,486.3,GRV,Ruminant,Megagroups,High,grazer,1,34,2.18,9.5,592665.98,592.66598,2525.86,-999,1460,-999,-999,1,337.49,1,63.73,59.79,638.75,1.08,1,354,39843.11,-999,5.84,3000,1683.65,12,-999,1,319.37,151878.4,543;730;854;869;904;1297;1525;1573;1763;1848;2338;2620;2629;2655;2986,-999,11706834.65,15.85,-33.51,-8.82,43.95,-14.48,14.73,0,31.59,1,0.14,100.45,237.8,1004.99,1548.94,No,37931.4,185280.3,223211.7,0.00596344,0.014948235,0.017682939,0.169934641,0.830065359,4,3,Ungulate,HG,UngulateG,UngulateG
TAOR,Taurotragus,oryx,Eland,Eland,6ffe2064-cabd-4fcb-8c1b-f168bf381aab;mammalia;cetartiodactyla;bovidae;tragelaphus;oryx;common eland,Herbivore,562592.69,group,Bovidae,Artiodactyla,,crepuscular,group,Very_large,1,yes,MSMix,511.2,BGI,Ruminant,Gregarious,None,mixed_feeder,0,,,,562592.69,562.59269,2656.78,-999,958.12,36000,150000,3,271,1,195.15,38.36,337,1,-999,300,30889.05,-999,1.64,500,672.49,4.05,-999,1,128.68,96495.55,453;543;730;854;869;917;1297;1350;1525;1573;1594;1763;1822;1848;2629;2655;2693;2986,1.14,5405307.84,7.22,-27.42,-10.1,41.67,12.47,27.07,0,24.95,1,0.16,76.46,221.37,832.14,1485.68,No,0,47030.4,47030.4,0.001195286,0.003149573,0.003725771,0,1,3,1,Ungulate,HMF,UngulateB,UngulateB
HINI,Hippotragus,niger,Sable_antelope,Sable antelope,2032f6c0-3537-4316-a0d7-1e754d42ed80;mammalia;cetartiodactyla;bovidae;hippotragus;niger;sable antelope,Herbivore,236405.9,group,Bovidae,Artiodactyla,,diurnal,group,Very_large,1,yes,WDGr,210.5,GRV,Ruminant,Family,High,grazer,1,86,2.17,8.2,236405.9,236.4059,2035,-999,983.37,-999,-999,5,272.87,1,-999,-999,365,1,-999,267,16412.18,-999,1.3,-999,972.17,15,4,1,210.73,-999,543;730;869;1297;1525;1594;1848;2629;2655;2693;2986,1.1,3149646.92,-1.84,-25.41,-13.63,40.84,16.24,28.54,0,28.14,2,0.16,80.83,221.46,857.47,1492.34,No,35785,119774.5,155559.5,0.009601268,0.010417644,0.012323499,0.230040595,0.769959405,2,3,Ungulate,HG,UngulateG,UngulateG
TRST,Tragelaphus,strepsiceros,Kudu,Kudu,d2e4f2d3-7182-48d1-a866-535904fe7692;mammalia;cetartiodactyla;bovidae;tragelaphus;strepsiceros;greater kudu,Herbivore,206056.41,group,Bovidae,Artiodactyla,,diurnal,solitary,Very_large,1,yes,LBr,202.3,GEN,Ruminant,Family,Low,browser,1,0,1.97,7.8,206056.41,206.05641,2199.99,-999,912.5,-999,-999,2,220.94,1,835.1,783.47,365,1,-999,276,15366.57,-999,1.06,-999,665.38,12,-999,1,182.5,-999,453;543;730;854;869;1297;1525;1573;1577;1848;2629;2655;2693;2986,1.1,6476879.55,20.14,-34.05,-6.95,47.94,12.44,30.19,0,24.17,1,0.14,61.83,215.34,732.24,1469.28,No,70400.4,213426.5,283826.9,0.018228118,0.019007566,0.022484904,0.248039914,0.751960086,2,2,Ungulate,HB,UngulateB,UngulateB
KOEL,Kobus,ellipsiprymnus,Waterbuck,Waterbuck,b0f1b993-d62c-4b55-b833-5e575a15df05;mammalia;cetartiodactyla;bovidae;kobus;ellipsiprymnus;waterbuck,Herbivore,204393.48,group,Bovidae,Artiodactyla,,crepuscular,group,Very_large,1,yes,WDGr,211.8,GRV,Ruminant,Family,High,grazer,1,50,2.86,6.8,204393.48,204.39348,-999,-999,-999,26700,100000,2,270,1,1.28,-999,365,1,-999,239.04,12000,-999,2.46,-999,1426.44,12,4,1,212.91,-999,543;730;854;869;917;1052;1297;1525;1822;1848;1981;2338;2620;2629;2655;2693;2986;3057,1.1,10067123.88,16.11,-29.06,-6.47,45.62,-16.79,14.41,0,34.77,1,0.13,92,237.74,934.8,1546.75,Yes,7241442,2259906,9501348,0.582832049,0.636294526,0.752701379,0.762148908,0.237851092,2,3,Ungulate,HG,UngulateG,UngulateG
COTA,Connochaetes,taurinus,Wildebeest,Common wildebeest,09fbf931-bbf0-4959-9df6-1082db578281;mammalia;cetartiodactyla;bovidae;connochaetes;taurinus;common wildebeest,Herbivore,198619.68,group,Bovidae,Artiodactyla,,crepuscular,group,Very_large,1,yes,WDGr,220.1,GRV,Ruminant,Megagroups,High,grazer,1,95,1.64,7,198619.68,198.61968,2014.99,-999,730,26460,90000,1,251.49,1,-999,-999,365,0.98,-999,258,18044.36,-999,7.99,-999,841.82,20,2,1,256.32,51051.33,543;730;869;1052;1297;1525;1763;1822;1848;2338;2620;2629;2655;2693;2986,1.1,3201113.49,-0.82,-30.44,-15.63,39.88,13.13,26.5,0,19.12,0,0.16,61.61,211.04,731.29,1433.23,No,17608,47541.6,65149.6,0.003845704,0.004362995,0.005161183,0.27027027,0.72972973,4,3,Ungulate,HG,UngulateG,UngulateG
ALBU,Alcelaphus,buselaphus,Hartebeest,Hartebeest,a6c4ef9a-d23f-49ca-97c6-4f859df0066e;mammalia;cetartiodactyla;bovidae;alcelaphus;buselaphus;hartebeest,Herbivore,160937.86,group,Bovidae,Artiodactyla,,diurnal,group,Very_large,1,yes,WDGr,150.3,GRV,Ruminant,Gregarious,High,grazer,1,91,2.55,9.5,160937.86,160.93786,1974.99,-999,927.7,-999,-999,2,242.66,1,2.73,1.59,345.5,1,-999,240,12500,-999,3.65,-999,827.69,20,2,1,188.73,47894.46,543;730;869;1297;1525;1573;1763;1848;2629;2655;2693;2986,1.13,4706770.4,17.65,-6.03,5.81,45.78,-15.68,15.05,0,35.08,1,0.12,93.92,247.1,957.29,1598.47,Yes,23296.5,55911.6,79208.1,0.006846912,0.005304477,0.006274904,0.294117647,0.705882353,3,3,Ungulate,HG,UngulateG,UngulateG
PALE,Panthera,leo,Lion,Lion,ddf59264-185a-4d35-b647-2785792bdf54;mammalia;carnivora;felidae;panthera;leo;lion,Carnivore,158623.93,group,Felidae,Carnivora,,nocturnal,group,Very_large,1,no,,,,,,,,0,,,,158623.93,158.62393,1835.16,3,1047.55,27420.6,155800,1,108.74,1,55.19,103.85,730,2.75,2,360,1291.71,-999,0.11,-999,987.77,-999,4,1,197.86,-999,367;542;543;730;1015;1052;1113;1297;1573;1594;2655,-999,11237685.34,21.67,-28.5,-3.41,71.43,-14.12,28.65,0,28.6,1,0.14,85.8,234.38,902.1,1541.66,,,,,,,,,,,,Carnivore,LC,Carnivore,Carnivore
