55631055-3e0e-4b7a-9612-dedebe9f78b0;mammalia;proboscidea;elephantidae;loxodonta;africana;african elephant
7631afd3-ab8e-4e88-9243-2c21386595eb;mammalia;cetartiodactyla;hippopotamidae;hippopotamus;amphibius;hippopotamus
9732cefb-6a08-49f6-b61e-b9a9054368c4;mammalia;cetartiodactyla;bovidae;syncerus;caffer;african buffalo
6ffe2064-cabd-4fcb-8c1b-f168bf381aab;mammalia;cetartiodactyla;bovidae;tragelaphus;oryx;common eland
2032f6c0-3537-4316-a0d7-1e754d42ed80;mammalia;cetartiodactyla;bovidae;hippotragus;niger;sable antelope
d2e4f2d3-7182-48d1-a866-535904fe7692;mammalia;cetartiodactyla;bovidae;tragelaphus;strepsiceros;greater kudu
b0f1b993-d62c-4b55-b833-5e575a15df05;mammalia;cetartiodactyla;bovidae;kobus;ellipsiprymnus;waterbuck
09fbf931-bbf0-4959-9df6-1082db578281;mammalia;cetartiodactyla;bovidae;connochaetes;taurinus;common wildebeest
a6c4ef9a-d23f-49ca-97c6-4f859df0066e;mammalia;cetartiodactyla;bovidae;alcelaphus;buselaphus;hartebeest
ddf59264-185a-4d35-b647-2785792bdf54;mammalia;carnivora;felidae;panthera;leo;lion
7bfdcb3a-386b-4e47-9780-3fea47fa4e6e;mammalia;cetartiodactyla;bovidae;tragelaphus;angasii;nyala
ccd7d6d7-8eb2-4fdb-a6d6-f1970847e449;mammalia;cetartiodactyla;suidae;phacochoerus;africanus;common warthog
6130285b-ff22-4602-b7e8-ef92e3a527da;mammalia;cetartiodactyla;suidae;potamochoerus;larvatus;bushpig
7a5a9437-883c-4a5b-b7f9-1d90ec457f46;mammalia;tubulidentata;orycteropodidae;orycteropus;afer;aardvark
c134e0ab-cf96-45ec-bae6-60b94995f71b;mammalia;cetartiodactyla;bovidae;aepyceros;melampus;impala
34078f5f-1006-4a79-a62d-e5f0477abb53;mammalia;cetartiodactyla;bovidae;redunca;;reedbuck species
1ae5230b-5168-4491-ad4e-19583eb21b52;mammalia;cetartiodactyla;bovidae;tragelaphus;scriptus;bushbuck
e9fd5b93-7210-40db-9655-ad10ecf40cfb;mammalia;cetartiodactyla;bovidae;ourebia;ourebi;oribi
a6179f10-d4f7-472d-8c38-2c54910d1e04;mammalia;primates;cercopithecidae;papio;cynocephalus;yellow baboon
4d29815c-2b61-4595-a520-2441af567d64;mammalia;cetartiodactyla;bovidae;sylvicapra;grimmia;common duiker
3e764b23-9c39-4172-a386-09ecf92dffc5;mammalia;rodentia;hystricidae;hystrix;africaeaustralis;cape porcupine
f525d1c5-9fcf-43c6-82d9-eb7a8a39d611;mammalia;cetartiodactyla;bovidae;cephalophus;natalensis;natal red duiker
127278f5-8bf3-4f85-ba19-99e097f17f46;mammalia;carnivora;viverridae;civettictis;civetta;african civet
573c85b2-4dac-406f-bcd2-ab2448fd234c;mammalia;carnivora;felidae;leptailurus;serval;serval
0763523f-9416-40ac-bda5-b12fa62bc871;mammalia;pholidota;manidae;smutsia;gigantea;giant ground pangolin
a4f40e31-17f6-45b7-8b9d-e32af92a24df;mammalia;carnivora;mustelidae;mellivora;capensis;honey badger
13997909-c989-4400-9c2d-b9524976269c;mammalia;primates;cercopithecidae;cercopithecus;mitis;blue monkey
0c72ac0d-6ed4-40f4-90ba-215dd1a7de8e;mammalia;primates;cercopithecidae;chlorocebus;pygerythrus;vervet monkey
37b83705-ecdf-406d-923a-12a736fd56f3;mammalia;carnivora;herpestidae;ichneumia;albicauda;white-tailed mongoose
0c721cf4-86b3-423d-b8a2-8276a66f2969;mammalia;carnivora;herpestidae;atilax;paludinosus;marsh mongoose
341cda2b-34df-4391-a61e-ba063bbe2f9a;mammalia;carnivora;herpestidae;herpestes;ichneumon;egyptian mongoose
d07fdf54-b3e5-46da-93a7-65fa5dda1055;mammalia;lagomorpha;leporidae;lepus;victoriae;african savanna hare
9e251a37-cef9-4bf9-b876-2ca1279dc613;mammalia;carnivora;viverridae;genetta;;genetta species
7ee8462e-c856-4ff3-89d0-13fe7a136150;mammalia;carnivora;herpestidae;bdeogale;crassicauda;bushy-tailed mongoose
959d9eaf-e359-41c5-a9e5-220667e52a9b;mammalia;carnivora;herpestidae;mungos;mungo;banded mongoose
8c3a4d44-b86e-4678-b39c-bbc13b88aecd;mammalia;primates;galagidae;otolemur;crassicaudatus;thick-tailed greater galago
3ac589d6-a591-41f0-adc7-37bde833fb11;mammalia;carnivora;herpestidae;herpestes;sanguineus;common slender mongoose
3e8412c2-8b79-4116-8cb1-a0ca3a8f856c;mammalia;carnivora;herpestidae;helogale;parvula;common dwarf mongoose
e8082989-aa2f-4aa6-a457-19adfd77fabc;aves;bucerotiformes;bucerotidae;bucorvus;leadbeateri;southern ground-hornbill
d4817787-1c5b-4dfe-9251-03c759845951;aves;galliformes;numididae;guttera;pucherani;pintade huppée
83133617-8358-4910-82ee-4c23e40ba3dc;aves;galliformes;numididae;numida;meleagris;helmeted guineafowl
2a0223ce-bf36-4acd-996a-20ecdaa472ac;mammalia;rodentia;hystricidae;hystrix;;hystrix species
0b62f436-aced-4b92-ad12-4700b7185c79;aves;passeriformes;;;;passeriformes order
3e34492e-b6d2-4db9-925d-301beb639cad;mammalia;cetartiodactyla;bovidae;cephalophus;;cephalophus species
739a105e-d883-4ff8-9282-7ec44018e6a0;reptilia;;;;;reptile
a27d3983-76a1-4d2d-b080-18747cd77dcb;mammalia;artiodactyla;;;;even-toed ungulate
30015f2a-5598-461d-bc33-1eb2cef56f1a;aves;galliformes;numididae;;;guineafowl family
